time,am_pm,month_day,months,year,usage_kWh,date,day_of_week
07,PM,04,Jan,2014,3.78,2014-01-04,Saturday
08,PM,04,Jan,2014,3.492,2014-01-04,Saturday
09,PM,04th,Jan,2014,0.84,2014-01-04,Saturday
10,PM,4th,Jan,2014,0.672,2014-01-04,Saturday
11,PM,4th,Jan,2014,2.10,2014-01-04,Saturday
12,PM,04,Jan,2014,1.14,2014-01-04,Saturday
01,AM,05,Jan,2014,0.54,2014-01-05,Sunday
02,AM,05,Jan,2014,0.654,2014-01-05,Sunday
03,AM,5th,Jan,2014,0.624,2014-01-05,Sunday
04,AM,05,Jan,2014,0.522,2014-01-05,Sunday
05,AM,05,Jan,2014,0.618,2014-01-05,Sunday
06,AM,05,Jan,2014,1.36,2014-01-05,Sunday
07,AM,05,Jan,2014,2.64,2014-01-05,Sunday
08,AM,05,Jan,2014,2.99,2014-01-05,Sunday
09,AM,05,Jan,2014,1.692,2014-01-05,Sunday
10,AM,5th,Jan,2014,1.248,2014-01-05,Sunday
11,AM,05th,Jan,2014,0.972,2014-01-05,Sunday
12,AM,05,Jan,2014,1.904,2014-01-05,Sunday
01,PM,05th,Jan,2014,0.972,2014-01-05,Sunday
02,PM,05,Jan,2014,1.44,2014-01-05,Sunday
03,PM,05th,Jan,2014,1.80,2014-01-05,Sunday
04,PM,05,Jan,2014,2.106,2014-01-05,Sunday
05,PM,05,Jan,2014,2.052,2014-01-05,Sunday
06,PM,5th,Jan,2014,2.952,2014-01-05,Sunday
07,PM,05,Jan,2014,4.068,2014-01-05,Sunday
08,PM,5th,Jan,2014,4.068,2014-01-05,Sunday
09,PM,05,Jan,2014,1.176,2014-01-05,Sunday
10,PM,05,Jan,2014,1.20,2014-01-05,Sunday
11,PM,05,Jan,2014,1.07,2014-01-05,Sunday
12,PM,05,Jan,2014,1.176,2014-01-05,Sunday
01,AM,6th,Jan,2014,0.372,2014-01-06,Monday
02,AM,6th,Jan,2014,0.364,2014-01-06,Monday
03,AM,6th,Jan,2014,0.468,2014-01-06,Monday
04,AM,06,Jan,2014,0.476,2014-01-06,Monday
05,AM,06,Jan,2014,2.002,2014-01-06,Monday
06,AM,06th,Jan,2014,2.472,2014-01-06,Monday
07,AM,06,Jan,2014,2.16,2014-01-06,Monday
08,AM,06,Jan,2014,0.808,2014-01-06,Monday
09,AM,06,Jan,2014,0.504,2014-01-06,Monday
10,AM,06,Jan,2014,0.68,2014-01-06,Monday
11,AM,6th,Jan,2014,1.11,2014-01-06,Monday
12,AM,6th,Jan,2014,0.486,2014-01-06,Monday
01,PM,6th,Jan,2014,0.936,2014-01-06,Monday
02,PM,06,Jan,2014,0.688,2014-01-06,Monday
03,PM,06,Jan,2014,0.808,2014-01-06,Monday
04,PM,06,Jan,2014,0.856,2014-01-06,Monday
05,PM,6th,Jan,2014,3.12,2014-01-06,Monday
06,PM,6th,Jan,2014,2.52,2014-01-06,Monday
07,PM,06th,Jan,2014,4.284,2014-01-06,Monday
08,PM,06,Jan,2014,3.264,2014-01-06,Monday
09,PM,6th,Jan,2014,1.008,2014-01-06,Monday
10,PM,6th,Jan,2014,1.00,2014-01-06,Monday
11,PM,06,Jan,2014,0.96,2014-01-06,Monday
12,PM,6th,Jan,2014,1.19,2014-01-06,Monday
01,AM,07,Jan,2014,0.368,2014-01-07,Tuesday
02,AM,7th,Jan,2014,0.416,2014-01-07,Tuesday
03,AM,7th,Jan,2014,0.44,2014-01-07,Tuesday
04,AM,07,Jan,2014,0.404,2014-01-07,Tuesday
05,AM,07th,Jan,2014,2.596,2014-01-07,Tuesday
06,AM,7th,Jan,2014,2.40,2014-01-07,Tuesday
07,AM,07,Jan,2014,1.962,2014-01-07,Tuesday
08,AM,07,Jan,2014,0.912,2014-01-07,Tuesday
09,AM,7th,Jan,2014,0.552,2014-01-07,Tuesday
10,AM,07,Jan,2014,0.672,2014-01-07,Tuesday
11,AM,07th,Jan,2014,1.17,2014-01-07,Tuesday
12,AM,7th,Jan,2014,0.48,2014-01-07,Tuesday
01,PM,07,Jan,2014,0.672,2014-01-07,Tuesday
02,PM,07,Jan,2014,0.752,2014-01-07,Tuesday
03,PM,07,Jan,2014,0.84,2014-01-07,Tuesday
04,PM,07,Jan,2014,0.80,2014-01-07,Tuesday
05,PM,07,Jan,2014,2.132,2014-01-07,Tuesday
06,PM,7th,Jan,2014,2.604,2014-01-07,Tuesday
07,PM,7th,Jan,2014,3.42,2014-01-07,Tuesday
08,PM,7th,Jan,2014,3.424,2014-01-07,Tuesday
09,PM,07,Jan,2014,0.96,2014-01-07,Tuesday
10,PM,07,Jan,2014,1.09,2014-01-07,Tuesday
11,PM,07th,Jan,2014,0.84,2014-01-07,Tuesday
12,PM,7th,Jan,2014,0.89,2014-01-07,Tuesday
01,AM,8th,Jan,2014,0.34,2014-01-08,Wednesday
02,AM,08th,Jan,2014,0.444,2014-01-08,Wednesday
03,AM,08,Jan,2014,0.332,2014-01-08,Wednesday
04,AM,08,Jan,2014,0.384,2014-01-08,Wednesday
05,AM,08,Jan,2014,2.64,2014-01-08,Wednesday
06,AM,8th,Jan,2014,2.376,2014-01-08,Wednesday
07,AM,08,Jan,2014,1.512,2014-01-08,Wednesday
08,AM,08,Jan,2014,0.912,2014-01-08,Wednesday
09,AM,8th,Jan,2014,0.582,2014-01-08,Wednesday
10,AM,08th,Jan,2014,0.648,2014-01-08,Wednesday
11,AM,08,Jan,2014,0.94,2014-01-08,Wednesday
12,AM,08th,Jan,2014,0.522,2014-01-08,Wednesday
01,PM,08,Jan,2014,0.904,2014-01-08,Wednesday
02,PM,8th,Jan,2014,0.728,2014-01-08,Wednesday
03,PM,8th,Jan,2014,0.816,2014-01-08,Wednesday
04,PM,08,Jan,2014,0.728,2014-01-08,Wednesday
05,PM,8th,Jan,2014,2.808,2014-01-08,Wednesday
06,PM,8th,Jan,2014,2.548,2014-01-08,Wednesday
07,PM,08,Jan,2014,3.492,2014-01-08,Wednesday
08,PM,8th,Jan,2014,2.56,2014-01-08,Wednesday
09,PM,08,Jan,2014,1.428,2014-01-08,Wednesday
10,PM,08,Jan,2014,0.94,2014-01-08,Wednesday
11,PM,08,Jan,2014,0.81,2014-01-08,Wednesday
12,PM,08th,Jan,2014,1.10,2014-01-08,Wednesday
01,AM,09,Jan,2014,0.36,2014-01-09,Thursday
02,AM,09,Jan,2014,0.40,2014-01-09,Thursday
03,AM,09,Jan,2014,0.424,2014-01-09,Thursday
04,AM,09th,Jan,2014,0.424,2014-01-09,Thursday
05,AM,09,Jan,2014,1.87,2014-01-09,Thursday
06,AM,9th,Jan,2014,2.664,2014-01-09,Thursday
07,AM,09,Jan,2014,2.106,2014-01-09,Thursday
08,AM,9th,Jan,2014,0.952,2014-01-09,Thursday
09,AM,9th,Jan,2014,0.708,2014-01-09,Thursday
10,AM,9th,Jan,2014,0.84,2014-01-09,Thursday
11,AM,09,Jan,2014,1.05,2014-01-09,Thursday
12,AM,09,Jan,2014,0.54,2014-01-09,Thursday
01,PM,09th,Jan,2014,0.792,2014-01-09,Thursday
02,PM,9th,Jan,2014,0.80,2014-01-09,Thursday
03,PM,9th,Jan,2014,0.944,2014-01-09,Thursday
04,PM,09,Jan,2014,0.848,2014-01-09,Thursday
05,PM,09,Jan,2014,2.496,2014-01-09,Thursday
06,PM,9th,Jan,2014,2.408,2014-01-09,Thursday
07,PM,9th,Jan,2014,3.492,2014-01-09,Thursday
08,PM,09th,Jan,2014,3.36,2014-01-09,Thursday
09,PM,09,Jan,2014,1.176,2014-01-09,Thursday
10,PM,9th,Jan,2014,1.03,2014-01-09,Thursday
11,PM,09,Jan,2014,0.88,2014-01-09,Thursday
12,PM,09,Jan,2014,0.86,2014-01-09,Thursday
01,AM,10th,Jan,2014,0.424,2014-01-10,Friday
02,AM,10,Jan,2014,0.376,2014-01-10,Friday
03,AM,10th,Jan,2014,0.392,2014-01-10,Friday
04,AM,10th,Jan,2014,0.356,2014-01-10,Friday
05,AM,10th,Jan,2014,2.398,2014-01-10,Friday
06,AM,10,Jan,2014,2.472,2014-01-10,Friday
07,AM,10,Jan,2014,2.142,2014-01-10,Friday
08,AM,10,Jan,2014,0.688,2014-01-10,Friday
09,AM,10th,Jan,2014,0.708,2014-01-10,Friday
10,AM,10,Jan,2014,0.848,2014-01-10,Friday
11,AM,10,Jan,2014,0.91,2014-01-10,Friday
12,AM,10th,Jan,2014,0.72,2014-01-10,Friday
01,PM,10th,Jan,2014,0.84,2014-01-10,Friday
02,PM,10th,Jan,2014,0.848,2014-01-10,Friday
03,PM,10,Jan,2014,0.784,2014-01-10,Friday
04,PM,10,Jan,2014,0.92,2014-01-10,Friday
05,PM,10,Jan,2014,2.964,2014-01-10,Friday
06,PM,10th,Jan,2014,3.08,2014-01-10,Friday
07,PM,10th,Jan,2014,3.60,2014-01-10,Friday
08,PM,10,Jan,2014,3.392,2014-01-10,Friday
09,PM,10,Jan,2014,0.864,2014-01-10,Friday
10,PM,10,Jan,2014,1.12,2014-01-10,Friday
11,PM,10th,Jan,2014,1.62,2014-01-10,Friday
12,PM,10,Jan,2014,1.12,2014-01-10,Friday
01,AM,11th,Jan,2014,0.624,2014-01-11,Saturday
02,AM,11th,Jan,2014,0.48,2014-01-11,Saturday
03,AM,11th,Jan,2014,0.612,2014-01-11,Saturday
04,AM,11,Jan,2014,0.48,2014-01-11,Saturday
05,AM,11th,Jan,2014,0.702,2014-01-11,Saturday
06,AM,11th,Jan,2014,1.392,2014-01-11,Saturday
07,AM,11,Jan,2014,2.016,2014-01-11,Saturday
08,AM,11th,Jan,2014,2.21,2014-01-11,Saturday
09,AM,11th,Jan,2014,1.53,2014-01-11,Saturday
10,AM,11,Jan,2014,1.38,2014-01-11,Saturday
11,AM,11th,Jan,2014,1.32,2014-01-11,Saturday
12,AM,11th,Jan,2014,1.712,2014-01-11,Saturday
01,PM,11,Jan,2014,1.08,2014-01-11,Saturday
02,PM,11,Jan,2014,1.44,2014-01-11,Saturday
03,PM,11,Jan,2014,1.926,2014-01-11,Saturday
04,PM,11,Jan,2014,1.692,2014-01-11,Saturday
05,PM,11th,Jan,2014,1.854,2014-01-11,Saturday
06,PM,11th,Jan,2014,4.032,2014-01-11,Saturday
07,PM,11th,Jan,2014,3.888,2014-01-11,Saturday
08,PM,11th,Jan,2014,3.456,2014-01-11,Saturday
09,PM,11th,Jan,2014,0.864,2014-01-11,Saturday
10,PM,11th,Jan,2014,0.944,2014-01-11,Saturday
11,PM,11th,Jan,2014,1.78,2014-01-11,Saturday
12,PM,11th,Jan,2014,1.404,2014-01-11,Saturday
01,AM,12th,Jan,2014,0.558,2014-01-12,Sunday
02,AM,12th,Jan,2014,0.582,2014-01-12,Sunday
03,AM,12,Jan,2014,0.498,2014-01-12,Sunday
04,AM,12,Jan,2014,0.606,2014-01-12,Sunday
05,AM,12,Jan,2014,0.504,2014-01-12,Sunday
06,AM,12,Jan,2014,1.904,2014-01-12,Sunday
07,AM,12th,Jan,2014,2.616,2014-01-12,Sunday
08,AM,12,Jan,2014,2.73,2014-01-12,Sunday
09,AM,12th,Jan,2014,1.566,2014-01-12,Sunday
10,AM,12,Jan,2014,1.152,2014-01-12,Sunday
11,AM,12th,Jan,2014,1.128,2014-01-12,Sunday
12,AM,12,Jan,2014,1.456,2014-01-12,Sunday
01,PM,12,Jan,2014,1.008,2014-01-12,Sunday
02,PM,12th,Jan,2014,1.824,2014-01-12,Sunday
03,PM,12,Jan,2014,1.674,2014-01-12,Sunday
04,PM,12,Jan,2014,1.548,2014-01-12,Sunday
05,PM,12,Jan,2014,1.746,2014-01-12,Sunday
06,PM,12th,Jan,2014,4.176,2014-01-12,Sunday
07,PM,12,Jan,2014,4.248,2014-01-12,Sunday
08,PM,12,Jan,2014,3.132,2014-01-12,Sunday
09,PM,12th,Jan,2014,1.104,2014-01-12,Sunday
10,PM,12,Jan,2014,1.04,2014-01-12,Sunday
11,PM,12,Jan,2014,0.91,2014-01-12,Sunday
12,PM,12th,Jan,2014,1.056,2014-01-12,Sunday
01,AM,13th,Jan,2014,0.452,2014-01-13,Monday
02,AM,13,Jan,2014,0.408,2014-01-13,Monday
03,AM,13th,Jan,2014,0.38,2014-01-13,Monday
04,AM,13,Jan,2014,0.34,2014-01-13,Monday
05,AM,13,Jan,2014,2.20,2014-01-13,Monday
06,AM,13th,Jan,2014,2.136,2014-01-13,Monday
07,AM,13,Jan,2014,1.836,2014-01-13,Monday
08,AM,13,Jan,2014,0.832,2014-01-13,Monday
09,AM,13th,Jan,2014,0.60,2014-01-13,Monday
10,AM,13,Jan,2014,0.752,2014-01-13,Monday
11,AM,13th,Jan,2014,1.02,2014-01-13,Monday
12,AM,13th,Jan,2014,0.546,2014-01-13,Monday
01,PM,13th,Jan,2014,0.784,2014-01-13,Monday
02,PM,13th,Jan,2014,0.696,2014-01-13,Monday
03,PM,13,Jan,2014,0.656,2014-01-13,Monday
04,PM,13,Jan,2014,0.656,2014-01-13,Monday
05,PM,13,Jan,2014,2.704,2014-01-13,Monday
06,PM,13,Jan,2014,3.248,2014-01-13,Monday
07,PM,13th,Jan,2014,3.744,2014-01-13,Monday
08,PM,13,Jan,2014,3.584,2014-01-13,Monday
09,PM,13th,Jan,2014,1.368,2014-01-13,Monday
10,PM,13th,Jan,2014,0.99,2014-01-13,Monday
11,PM,13,Jan,2014,1.19,2014-01-13,Monday
12,PM,13,Jan,2014,1.11,2014-01-13,Monday
01,AM,14,Jan,2014,0.444,2014-01-14,Tuesday
02,AM,14,Jan,2014,0.46,2014-01-14,Tuesday
03,AM,14,Jan,2014,0.368,2014-01-14,Tuesday
04,AM,14,Jan,2014,0.328,2014-01-14,Tuesday
05,AM,14th,Jan,2014,2.112,2014-01-14,Tuesday
06,AM,14,Jan,2014,2.472,2014-01-14,Tuesday
07,AM,14,Jan,2014,2.088,2014-01-14,Tuesday
08,AM,14th,Jan,2014,0.832,2014-01-14,Tuesday
09,AM,14,Jan,2014,0.588,2014-01-14,Tuesday
10,AM,14th,Jan,2014,0.648,2014-01-14,Tuesday
11,AM,14th,Jan,2014,0.92,2014-01-14,Tuesday
12,AM,14th,Jan,2014,0.708,2014-01-14,Tuesday
01,PM,14,Jan,2014,0.824,2014-01-14,Tuesday
02,PM,14,Jan,2014,0.672,2014-01-14,Tuesday
03,PM,14,Jan,2014,0.664,2014-01-14,Tuesday
04,PM,14th,Jan,2014,0.80,2014-01-14,Tuesday
05,PM,14th,Jan,2014,2.938,2014-01-14,Tuesday
06,PM,14,Jan,2014,2.52,2014-01-14,Tuesday
07,PM,14,Jan,2014,3.276,2014-01-14,Tuesday
08,PM,14th,Jan,2014,3.264,2014-01-14,Tuesday
09,PM,14,Jan,2014,1.236,2014-01-14,Tuesday
10,PM,14,Jan,2014,0.95,2014-01-14,Tuesday
11,PM,14th,Jan,2014,0.84,2014-01-14,Tuesday
12,PM,14,Jan,2014,1.08,2014-01-14,Tuesday
01,AM,15th,Jan,2014,0.456,2014-01-15,Wednesday
02,AM,15,Jan,2014,0.404,2014-01-15,Wednesday
03,AM,15,Jan,2014,0.348,2014-01-15,Wednesday
04,AM,15,Jan,2014,0.444,2014-01-15,Wednesday
05,AM,15,Jan,2014,2.574,2014-01-15,Wednesday
06,AM,15,Jan,2014,2.256,2014-01-15,Wednesday
07,AM,15th,Jan,2014,1.656,2014-01-15,Wednesday
08,AM,15,Jan,2014,0.912,2014-01-15,Wednesday
09,AM,15th,Jan,2014,0.534,2014-01-15,Wednesday
10,AM,15th,Jan,2014,0.704,2014-01-15,Wednesday
11,AM,15,Jan,2014,1.12,2014-01-15,Wednesday
12,AM,15,Jan,2014,0.618,2014-01-15,Wednesday
01,PM,15,Jan,2014,0.648,2014-01-15,Wednesday
02,PM,15th,Jan,2014,0.912,2014-01-15,Wednesday
03,PM,15,Jan,2014,0.784,2014-01-15,Wednesday
04,PM,15,Jan,2014,0.712,2014-01-15,Wednesday
05,PM,15th,Jan,2014,2.47,2014-01-15,Wednesday
06,PM,15,Jan,2014,2.576,2014-01-15,Wednesday
07,PM,15,Jan,2014,4.212,2014-01-15,Wednesday
08,PM,15th,Jan,2014,3.136,2014-01-15,Wednesday
09,PM,15,Jan,2014,1.368,2014-01-15,Wednesday
10,PM,15,Jan,2014,0.90,2014-01-15,Wednesday
11,PM,15th,Jan,2014,0.86,2014-01-15,Wednesday
12,PM,15,Jan,2014,0.83,2014-01-15,Wednesday
01,AM,16th,Jan,2014,0.344,2014-01-16,Thursday
02,AM,16th,Jan,2014,0.448,2014-01-16,Thursday
03,AM,16,Jan,2014,0.36,2014-01-16,Thursday
04,AM,16,Jan,2014,0.388,2014-01-16,Thursday
05,AM,16th,Jan,2014,2.332,2014-01-16,Thursday
06,AM,16th,Jan,2014,2.808,2014-01-16,Thursday
07,AM,16th,Jan,2014,2.07,2014-01-16,Thursday
08,AM,16th,Jan,2014,0.704,2014-01-16,Thursday
09,AM,16th,Jan,2014,0.57,2014-01-16,Thursday
10,AM,16,Jan,2014,0.832,2014-01-16,Thursday
11,AM,16,Jan,2014,1.04,2014-01-16,Thursday
12,AM,16th,Jan,2014,0.672,2014-01-16,Thursday
01,PM,16th,Jan,2014,0.672,2014-01-16,Thursday
02,PM,16,Jan,2014,0.776,2014-01-16,Thursday
03,PM,16,Jan,2014,0.816,2014-01-16,Thursday
04,PM,16,Jan,2014,0.832,2014-01-16,Thursday
05,PM,16th,Jan,2014,2.73,2014-01-16,Thursday
06,PM,16th,Jan,2014,3.052,2014-01-16,Thursday
07,PM,16,Jan,2014,4.068,2014-01-16,Thursday
08,PM,16th,Jan,2014,3.456,2014-01-16,Thursday
09,PM,16th,Jan,2014,1.092,2014-01-16,Thursday
10,PM,16,Jan,2014,0.86,2014-01-16,Thursday
11,PM,16,Jan,2014,1.09,2014-01-16,Thursday
12,PM,16,Jan,2014,0.81,2014-01-16,Thursday
01,AM,17th,Jan,2014,0.324,2014-01-17,Friday
02,AM,17,Jan,2014,0.356,2014-01-17,Friday
03,AM,17,Jan,2014,0.452,2014-01-17,Friday
04,AM,17,Jan,2014,0.472,2014-01-17,Friday
05,AM,17th,Jan,2014,2.20,2014-01-17,Friday
06,AM,17th,Jan,2014,1.992,2014-01-17,Friday
07,AM,17,Jan,2014,1.494,2014-01-17,Friday
08,AM,17th,Jan,2014,0.768,2014-01-17,Friday
09,AM,17,Jan,2014,0.486,2014-01-17,Friday
10,AM,17th,Jan,2014,0.688,2014-01-17,Friday
11,AM,17th,Jan,2014,0.96,2014-01-17,Friday
12,AM,17,Jan,2014,0.546,2014-01-17,Friday
01,PM,17th,Jan,2014,0.728,2014-01-17,Friday
02,PM,17,Jan,2014,0.76,2014-01-17,Friday
03,PM,17th,Jan,2014,0.64,2014-01-17,Friday
04,PM,17,Jan,2014,0.872,2014-01-17,Friday
05,PM,17th,Jan,2014,2.886,2014-01-17,Friday
06,PM,17,Jan,2014,3.052,2014-01-17,Friday
07,PM,17th,Jan,2014,3.816,2014-01-17,Friday
08,PM,17th,Jan,2014,3.328,2014-01-17,Friday
09,PM,17,Jan,2014,0.672,2014-01-17,Friday
10,PM,17th,Jan,2014,1.638,2014-01-17,Friday
11,PM,17th,Jan,2014,1.64,2014-01-17,Friday
12,PM,17,Jan,2014,1.10,2014-01-17,Friday
01,AM,18,Jan,2014,0.708,2014-01-18,Saturday
02,AM,18,Jan,2014,0.648,2014-01-18,Saturday
03,AM,18,Jan,2014,0.492,2014-01-18,Saturday
04,AM,18th,Jan,2014,0.552,2014-01-18,Saturday
05,AM,18,Jan,2014,0.606,2014-01-18,Saturday
06,AM,18th,Jan,2014,1.776,2014-01-18,Saturday
07,AM,18th,Jan,2014,2.664,2014-01-18,Saturday
08,AM,18th,Jan,2014,2.782,2014-01-18,Saturday
09,AM,18th,Jan,2014,1.98,2014-01-18,Saturday
10,AM,18,Jan,2014,1.176,2014-01-18,Saturday
11,AM,18,Jan,2014,1.20,2014-01-18,Saturday
12,AM,18,Jan,2014,1.776,2014-01-18,Saturday
01,PM,18th,Jan,2014,0.984,2014-01-18,Saturday
02,PM,18th,Jan,2014,1.312,2014-01-18,Saturday
03,PM,18th,Jan,2014,1.638,2014-01-18,Saturday
04,PM,18,Jan,2014,1.512,2014-01-18,Saturday
05,PM,18,Jan,2014,1.818,2014-01-18,Saturday
06,PM,18,Jan,2014,3.816,2014-01-18,Saturday
07,PM,18,Jan,2014,3.24,2014-01-18,Saturday
08,PM,18th,Jan,2014,3.024,2014-01-18,Saturday
09,PM,18th,Jan,2014,0.712,2014-01-18,Saturday
10,PM,18th,Jan,2014,0.952,2014-01-18,Saturday
11,PM,18,Jan,2014,2.22,2014-01-18,Saturday
12,PM,18,Jan,2014,1.068,2014-01-18,Saturday
01,AM,19,Jan,2014,0.57,2014-01-19,Sunday
02,AM,19th,Jan,2014,0.684,2014-01-19,Sunday
03,AM,19,Jan,2014,0.642,2014-01-19,Sunday
04,AM,19,Jan,2014,0.564,2014-01-19,Sunday
05,AM,19th,Jan,2014,0.522,2014-01-19,Sunday
06,AM,19th,Jan,2014,1.888,2014-01-19,Sunday
07,AM,19,Jan,2014,2.112,2014-01-19,Sunday
08,AM,19,Jan,2014,2.938,2014-01-19,Sunday
09,AM,19th,Jan,2014,2.142,2014-01-19,Sunday
10,AM,19th,Jan,2014,1.224,2014-01-19,Sunday
11,AM,19th,Jan,2014,1.008,2014-01-19,Sunday
12,AM,19,Jan,2014,1.296,2014-01-19,Sunday
01,PM,19,Jan,2014,1.02,2014-01-19,Sunday
02,PM,19,Jan,2014,1.744,2014-01-19,Sunday
03,PM,19th,Jan,2014,2.034,2014-01-19,Sunday
04,PM,19,Jan,2014,1.728,2014-01-19,Sunday
05,PM,19th,Jan,2014,1.926,2014-01-19,Sunday
06,PM,19th,Jan,2014,2.88,2014-01-19,Sunday
07,PM,19th,Jan,2014,2.88,2014-01-19,Sunday
08,PM,19,Jan,2014,3.384,2014-01-19,Sunday
09,PM,19th,Jan,2014,1.356,2014-01-19,Sunday
10,PM,19,Jan,2014,0.87,2014-01-19,Sunday
11,PM,19,Jan,2014,1.03,2014-01-19,Sunday
12,PM,19th,Jan,2014,0.972,2014-01-19,Sunday
